brand_name,generic_name,sku,unit,quantity,biologic_delivery
Abecma,idecabtagene_vicleucel,2,mg,63,suppository
Abilify,aripiprazole,3,mg,59,oral
Abilify_Maintena_injection,aripiprazole,4,mg,13,oral
Abraxane,albumin-bound_paclitaxel,5,mg,7,oral
Acanya,clindamycin_phosphate_and_benzoyl_peroxide,6,mg,85,oral
Accupril,quinapril_HCI,7,mg,71,oral
Accuretic,quinapril/HCTZ_tablet,8,mg,24,oral
Actemra,tocilizumab,9,mg,13,oral
Acthar_Gel,repository_corticotropin_injection,10,mg,38,oral
Actimmune,interferon_gamma-1b,11,mg,60,intravenous injection
Activase,alteplase,12,mg,55,suppository
Adacel,"tetanus_toxoid,_reduced_diphtheria_toxoid_and_acellular_pertussis_vaccine",13,mg,14,oral
Adakveo,crizanlizumab-tmca,14,mg,26,oral
Adbry,tralokinumab-idrm_injection,15,mg,85,oral
Adcetris,brentuximab_vedotin,16,mg,80,oral
Adcirca_tablets,tadalafil,17,mg,96,oral
Adempas_Tablet,riociguat,18,mg,73,oral
Admelog,insulin_lispro_injection,19,mg,95,oral
Advate,antihemophilic_factor,20,mg,5,oral
Adynovate,"Antihemophilic_Factor_(Recombinant),_PEGylated",21,mg,59,intravenous injection
Aerochamber_Plus_Flow-Vu_mouthpiece/mask,inhaler_spacer,22,mg,5,suppository
Affinity,tissue-human_allograft_dermal_substitute,23,mg,47,oral
Afinitor,everolimus,24,mg,22,oral
Afinitor_Disperz,everolimus,25,mg,34,oral
Afstyla,antihemophilic_factor_(recombinant),26,mg,9,oral
Agrylin,anagrelide_hydrochloride,27,mg,54,oral
Aimovig,erenumab,28,mg,44,oral
Ajovy,fremanezumab-vfrm,29,mg,53,oral
Akynzeo_capsule,netupitant/palonosetron_capsule,30,mg,10,oral
Akynzeo_injection,fosnetupitant/palonosetron,31,mg,87,intravenous injection
Aldactazide,spironolactone_and_hydrochlorothiazide,32,mg,21,suppository
Aldactone,spironolactone,33,mg,62,oral
Aldara,imiquimod,34,mg,96,oral
Alecensa,alectinib,35,mg,97,oral
Alimta,pemetrexed,36,mg,50,oral
Aliqopa,copanlisib,37,mg,78,oral
Allegra_OTC,fexofenadine_OTC_tablet,38,mg,22,oral
AlloDerm,wound_matrix,39,mg,42,oral
Alphagan_P_ophthalmic_solution,brimonidine_tartrate_ophthalmic_solution,40,mg,30,oral
Alprolix,"Coagulation_Factor_IX_(Recombinant),_Fc_Fusion_Protein",41,mg,77,intravenous injection
Alrex_suspension_.2%,loteprednol_etabonate_ophthalmic_suspension,42,mg,36,suppository
Altace,ramipril,43,mg,67,oral
Alunbrig,brigatinib,44,mg,81,oral
Alymsys,bevacizumab-maly,45,mg,78,oral
AmBisome_(injection),"amphotericin_B,_lipid-based",46,mg,93,oral
Amitiza,lubiprostone,47,mg,11,oral
Amjevita,adalimumab-atto,48,mg,67,oral
Amondys_45,casimersen_injection,49,mg,67,oral
Ampyra_Tablet,dalfampridine,50,mg,67,oral
Amvuttra,vutrisiran_injectable,51,mg,51,intravenous injection
Analpram_HC_Cream,hydrocortisone/pramoxine,52,mg,8,suppository
Ancobon_Caps,flucytosine,53,mg,82,oral
Andexxa,"coagulation_factor_Xa_(recombinant),_inactivated-zhzo",54,mg,28,oral
Anoro_Ellipta,umeclidinium_and_vilanterol_inhalation_powder,55,mg,64,oral
Apidra,insulin_glulisine,56,mg,80,oral
Apligraf,bi-layered_skin_substitute,57,mg,10,oral
Apretude,cabotegravir,58,mg,15,oral
Aptiom_Tablet,eslicarbazepine_acetate,59,mg,40,oral
Aptivus_capsules,tipranavir,60,mg,91,oral
Aranesp,darbepoetin_alfa,61,mg,35,intravenous injection
Arazlo,tazarotene,62,mg,6,suppository
Arestin,minocycline,63,mg,14,oral
Arikayce,amikacin_liposome_inhalation_suspension,64,mg,29,oral
Aristada,aripiprazole_lauroxil,65,mg,39,oral
Arixtra,fondaparinux_sodium,66,mg,18,oral
Armour_Thyroid,thyroid,67,mg,97,oral
Arnuity_Ellipta,fluticasone_furoate_inhalation_powder,68,mg,19,oral
Aromasin,exemestane,69,mg,58,oral
Arranon,nelarabine,70,mg,68,oral
Arthrotec,diclofenac_sodium/misoprostol,71,mg,25,intravenous injection
Asparlas,calaspargase_pegol-mknl_injectable,72,mg,77,suppository
Atgam,lymphocyte_immune_globulin/anti-thymocyte_globulin,73,mg,64,oral
Atopiclair_Cream,nonsteroidal_cream,74,mg,54,oral
Atripla,efavirenx/emtricitabine/tenofovir_disoproxil_fumarate,75,mg,14,oral
Atrovent_HFA_Inhalation_Aerosol,ipratropium_bromide,76,mg,90,oral
Aubagio_tablets,teriflunomide,77,mg,83,oral
Auryxia_Tablet,ferric_citrate,78,mg,18,oral
Austedo,deutetrabenazine,79,mg,31,oral
Auvi-Q,epinephrine_injection,80,mg,22,oral
Avastin,bevacizumab,81,mg,10,intravenous injection
Avonex,interferon_beta-1a,82,mg,57,suppository
Avsola_injection,infliximab-axxq,83,mg,24,oral
Avycaz_Vials,ceftazidime/avibactam,84,mg,22,oral
Aygestin,norethindrone_acetate_tablet,85,mg,85,oral
Ayvakit_tablet,avapritnib_tablet,86,mg,88,oral
Azedra,iobenguane,87,mg,11,oral
Bacitracin,bacitracin,88,mg,78,oral
Bafiertam,monomethyl_fumarate,89,mg,2,oral
Balversa,erdafitinib,90,mg,91,oral
Baqsimi,glucagon,91,mg,26,intravenous injection
Baraclude,entecavir,92,mg,59,suppository
Basaglar,insulin_glargine_injection,93,mg,15,oral
Bavencio,avelumab_injection,94,mg,81,oral
Beleodaq_Powder,belinostat,95,mg,19,oral
Belrapzo,bendamustine_hydrochloride_injection,96,mg,13,oral
Belsomra,suvorexant,97,mg,38,oral
Bendeka_Injection,bendamustine_HCl,98,mg,29,oral
BeneFIX_injection,recombinant,99,mg,39,oral
Benlysta,belimumab,100,mg,21,oral
Benzamycin_Topical_Gel,erythromycin;_benzoyl_peroxide,101,mg,0,intravenous injection
Beovu,brolucizumab-dbll,102,mg,0,suppository
Berinert,c1_esterase_inhibitor,103,mg,46,oral
Besponsa,inotuzumab_ozogamicin,104,mg,61,oral
Besremi,ropeginterferon_alfa-2b-njft,105,mg,37,oral
Betaseron,interferon_beta-1b,106,mg,30,oral
Bevespi_Aerosphere,glycopyrrolate_and_formoterol_fumarate,107,mg,55,oral
Biafine,biafine,108,mg,22,oral
BiDil,isosorbide_dinitrate_and_hydralazine_hydrochloride,109,mg,12,oral
Biktarvy,bictegravir/emtricitabine/tenofovir_alafenamide,110,mg,39,oral
Blincyto,blinatumomab,111,mg,40,intravenous injection
Boostrix,"tetanus_toxoid,_reduced_diphtheria_toxoid_and_acellular_pertussis_vaccine",112,mg,50,suppository
Bosulif,bosutinib,113,mg,30,oral
Botox,botulinum_toxin_type_A,114,mg,80,oral
Braftovi_capsules,encorafenib,115,mg,14,oral
Breo_Ellipta,fluticasone_furoate_and_vilanterol_inhalation_powder,116,mg,55,oral
Breyanzi,lisocabtagene_maraleucel,117,mg,66,oral
Breztri_Aerosphere_inhalation_aerosol,budesonide/glycopyrrolate/formoterol_fumarate,118,mg,47,oral
Brilinta_Tablets,ticagrelor,119,mg,27,oral
Brineura,cerliponase_alpa,120,mg,41,oral
BRIUMVI,ublituximab-xiiy,121,mg,78,intravenous injection
Briviact,brivaracetam,122,mg,41,suppository
Bronchitol_Inhalation,mannitol,123,mg,19,oral
Brukinsa,zanubrutinib,124,mg,6,oral
Bryhali_lotion,halobetasol_propionate,125,mg,73,oral
Buphenyl_Powder,sodium_phenylbutyrate,126,mg,56,oral
Buphenyl_Tablet,sodium_phenylbutyrate,127,mg,58,oral
Bydureon_BCise,exenatide_extended-release,128,mg,57,oral
Byetta,exenatide,129,mg,91,oral
Bylvay,odevixibat,130,mg,79,oral
Byooviz,ranibizumab-nuna,131,mg,94,intravenous injection
Cabenuva,cabotegravir;_rilpivirine,132,mg,52,suppository
Cablivi,caplacizumab-YHDP,133,mg,87,oral
Cabometyx,cabozantinib_s-malate,134,mg,27,oral
Caduet,amlodipine_besylate/atorvastatin_calcium,135,mg,57,oral
Calan,verapamil_HCl,136,mg,87,oral
Calcilo_XD_Powder,Calcilo_XD_Powder,137,mg,48,oral
Calquence,acalabrutinib,138,mg,43,oral
Camcevi,leuprolide,139,mg,9,oral
Camzyos,mavacamten,140,mg,72,oral
Canasa,mesalamine,141,mg,95,intravenous injection
Caplyta,lumateperone,142,mg,78,suppository
Caprelsa,vandetanib,143,mg,52,oral
Carac_Cream,fluorouracil_cream,144,mg,26,oral
Carbaglu,carglumic_acid,145,mg,20,oral
Carbatrol,carbamazepine,146,mg,36,oral
Cathflo,alteplase,147,mg,3,oral
Caverject,alprostadil,148,mg,3,oral
Cayston,aztreonam_for_inhalation_solution,149,mg,72,oral
Celebrex,celecoxib,150,mg,70,oral
CellCept,mycophenolate_mofetil,151,mg,16,intravenous injection
Celontin,methsuximide,152,mg,32,suppository
Chantix,varenicline,153,mg,92,oral
Chemet_Capsules,succimer,154,mg,19,oral
Cholbam_capsule,cholic_acid_capsule,155,mg,61,oral
Cialis,tadalafil,156,mg,18,oral
Cibinqo,abrocitinib_tablet,157,mg,61,oral
Cimerli,ranibizumab-eqrn,158,mg,2,oral
CIMZIA,certolizumab_pegol,159,mg,44,oral
Cinqair,reslizumab,160,mg,72,oral
Cinvanti,aprepitant_injectable_emulsion;_iv,161,mg,12,intravenous injection
Cleocin,clindamycin_phosphate,162,mg,83,suppository
Climara_Pro_0.045mg/.015mg,estradiol/levonorgestrel_transdermal_system,163,mg,7,oral
Clindagel_Topical_Gel,clinclamycin_phosphate_gel,164,mg,54,oral
Coagadex,"Coagulation_Factor_X,_Human",165,mg,80,oral
Coartem,artmether_and_lumefantrine_tablets,166,mg,93,oral
Colazal,balsalazide,167,mg,95,oral
Colcrys_tablet,colchicine,168,mg,80,oral
Colestid,colestipol_hcl,169,mg,17,oral
Combivent_Inhalation_Aerosol,ipratropium_bromide;_albuterol_sulfate,170,mg,69,oral
Cometriq_capsule,cabozantinib_s-malate_capsule,171,mg,6,intravenous injection
Complera,emtricitabine/rilpivirine/tenofovir_disoproxil_fumarate,172,mg,61,suppository
Copaxone,glatiramer_acetate,173,mg,27,oral
Corifact,factor_xiii_concentrate_(human),174,mg,5,oral
Corlanor,ivabradine,175,mg,84,oral
Cortef,hydrocortisone_cypionate,176,mg,47,oral
Cortifoam,hydrocortisone_acetate_10%,177,mg,27,oral
Cortrophin_Gel,corticotropin_injection,178,mg,93,oral
Corvert,ibutilide_fumarate,179,mg,53,oral
Cosela,trilaciclib_injection,180,mg,1,oral
Cosentyx,secukinumab,181,mg,52,intravenous injection
Cosmegen_Injection,dactinomycin_injectable,182,mg,99,suppository
